age,week,enough_of_the_kinds_of_food_wanted_ratio
18 - 24,1,0.8533501328606109
25 - 39,1,0.845598174586307
40 - 54,1,0.8722374211448217
55 - 64,1,0.9062043506981285
65 and above,1,0.9516623158055505
18 - 24,2,0.839062522264542
25 - 39,2,0.8313645420594526
40 - 54,2,0.8551497920228921
55 - 64,2,0.8872295457022314
65 and above,2,0.9513310116355892
18 - 24,3,0.8186867674844455
25 - 39,3,0.8317293732892892
40 - 54,3,0.8452176809129023
55 - 64,3,0.9031527045409514
65 and above,3,0.9537604623376378
18 - 24,4,0.8453533383387052
25 - 39,4,0.8377198603151432
40 - 54,4,0.8588883047311718
55 - 64,4,0.9093657940763084
65 and above,4,0.9289072447314409
18 - 24,5,0.8444195529381379
25 - 39,5,0.8354312261194324
40 - 54,5,0.84148504318954
55 - 64,5,0.9007337230641133
65 and above,5,0.9331568743768636
18 - 24,6,0.8350467781035136
25 - 39,6,0.8274250667736841
40 - 54,6,0.8465341968483916
55 - 64,6,0.9022833256300566
65 and above,6,0.943752788262405
18 - 24,7,0.8469109631734419
25 - 39,7,0.8411290999576133
40 - 54,7,0.845842497080078
55 - 64,7,0.9104027330572187
65 and above,7,0.948390488254285
18 - 24,8,0.850437996459082
25 - 39,8,0.8536543273479659
40 - 54,8,0.8653780620960332
55 - 64,8,0.8987918013647309
65 and above,8,0.9447401774630135
18 - 24,9,0.819683885245887
25 - 39,9,0.8401925216138199
40 - 54,9,0.8570892402701301
55 - 64,9,0.8859823342649127
65 and above,9,0.9428740663971081
18 - 24,10,0.7956114318432906
25 - 39,10,0.8424165136903723
40 - 54,10,0.8503559431438964
55 - 64,10,0.8857995500014304
65 and above,10,0.9405090311583811
18 - 24,11,0.8260070538639731
25 - 39,11,0.8314012376365206
40 - 54,11,0.8482848582348552
55 - 64,11,0.8852267316915228
65 and above,11,0.9313316963732653
18 - 24,12,0.808274165363891
25 - 39,12,0.8148940736847575
40 - 54,12,0.8411047369524954
55 - 64,12,0.8815684323257116
65 and above,12,0.9226725421090182
18 - 24,13,0.6537498528893811
25 - 39,13,0.7469561856417304
40 - 54,13,0.769859397733143
55 - 64,13,0.8238856388443525
65 and above,13,0.8659204105768077
18 - 24,14,0.6534233099313573
25 - 39,14,0.7459674986606716
40 - 54,14,0.7782933012815589
55 - 64,14,0.8127238119610498
65 and above,14,0.8743019427665495
18 - 24,15,0.7040804360432895
25 - 39,15,0.7509256212808577
40 - 54,15,0.7894228774403147
55 - 64,15,0.813655116336951
65 and above,15,0.87833459305284
18 - 24,16,0.6695304687697592
25 - 39,16,0.7503143539740237
40 - 54,16,0.7754898913505115
55 - 64,16,0.8232687374993627
65 and above,16,0.8726564270682581
18 - 24,17,0.6753484406065781
25 - 39,17,0.7422940429167431
40 - 54,17,0.7588695312999515
55 - 64,17,0.8076704319465237
65 and above,17,0.8700864380775761
18 - 24,18,0.6173095175403432
25 - 39,18,0.7120380349660778
40 - 54,18,0.7433130230441235
55 - 64,18,0.8051395173009634
65 and above,18,0.8634490806763212
18 - 24,19,0.619041199308705
25 - 39,19,0.7291625440577416
40 - 54,19,0.731483087058594
55 - 64,19,0.8058745586474088
65 and above,19,0.865309175116527
18 - 24,20,0.6459275386140254
25 - 39,20,0.7068132290930275
40 - 54,20,0.729106885261477
55 - 64,20,0.7939788662518829
65 and above,20,0.8716639863577225
18 - 24,21,0.6256946944857391
25 - 39,21,0.6974101114386977
40 - 54,21,0.7279588009830238
55 - 64,21,0.8067351441120605
65 and above,21,0.8495366926171347
18 - 24,22,0.5952130761332566
25 - 39,22,0.7171597174875615
40 - 54,22,0.7343979802985416
55 - 64,22,0.7866734930303942
65 and above,22,0.8341793263721672
18 - 24,23,0.646866358877145
25 - 39,23,0.7463854387395337
40 - 54,23,0.746911689054891
55 - 64,23,0.7975411831173865
65 and above,23,0.8389052026755103
18 - 24,24,0.6608237454882744
25 - 39,24,0.7393446406184173
40 - 54,24,0.7467432913681681
55 - 64,24,0.7924015780412699
65 and above,24,0.8175166984473018
18 - 24,25,0.6507296578087597
25 - 39,25,0.7418254588055535
40 - 54,25,0.7488623876232875
55 - 64,25,0.7843194781971414
65 and above,25,0.8506460596568468
18 - 24,26,0.6430168628094087
25 - 39,26,0.7325435875000346
40 - 54,26,0.7451304085439531
55 - 64,26,0.7921344560634622
65 and above,26,0.8337464213066791
18 - 24,27,0.6605429270025328
25 - 39,27,0.7390385916459743
40 - 54,27,0.7598227747703213
55 - 64,27,0.7900203161676669
65 and above,27,0.8345244892164227
18 - 24,28,0.5959609522108213
25 - 39,28,0.7293633872147405
40 - 54,28,0.7490553226253116
55 - 64,28,0.7825970779372149
65 and above,28,0.8359173290803056
18 - 24,28,0.5959609522108213
25 - 39,28,0.7293633872147405
40 - 54,28,0.7490553226253116
55 - 64,28,0.7825970779372149
65 and above,28,0.8359173290803056
18 - 24,29,0.5961236000127381
25 - 39,29,0.7262601390875464
40 - 54,29,0.7543374082160016
55 - 64,29,0.7931409867884344
65 and above,29,0.853369035232411
18 - 24,30,0.6094289388416476
25 - 39,30,0.7325318564475279
40 - 54,30,0.7522381098334434
55 - 64,30,0.7944065394878559
65 and above,30,0.8589860418560868
18 - 24,31,0.5877875539702012
25 - 39,31,0.7249226843120105
40 - 54,31,0.7406700292634374
55 - 64,31,0.7928282052193599
65 and above,31,0.8440695222083722
18 - 24,32,0.6077911170592917
25 - 39,32,0.7133988014464223
40 - 54,32,0.7265794610302446
55 - 64,32,0.804143978967907
65 and above,32,0.8490539426994379
18 - 24,33,0.642768997011174
25 - 39,33,0.7060411600765933
40 - 54,33,0.7323626827119694
55 - 64,33,0.7857838520276066
65 and above,33,0.8397136007134696
18 - 24,34,0.6678812269751612
25 - 39,34,0.745724697827733
40 - 54,34,0.7789771037809425
55 - 64,34,0.8254277110258161
65 and above,34,0.8676514606017185
18 - 24,35,0.664697634177082
25 - 39,35,0.7626742016843844
40 - 54,35,0.7678702434496737
55 - 64,35,0.8196706776774377
65 and above,35,0.8722540069488476
18 - 24,36,0.6743850961463476
25 - 39,36,0.763477099929734
40 - 54,36,0.7713399848090773
55 - 64,36,0.8090890984906867
65 and above,36,0.8610027290992341
