income,week,enough_of_the_kinds_of_food_wanted_ratio
"$100,000 - $149,999",1,0.9572024878210628
"$100,000 - $149,999",2,0.9766241020201303
"$100,000 - $149,999",3,0.9644239649074411
"$100,000 - $149,999",4,0.9894512506865071
"$100,000 - $149,999",5,0.9754426503399253
"$100,000 - $149,999",6,0.9842530871811811
"$100,000 - $149,999",7,0.9821282379394322
"$100,000 - $149,999",8,0.9926499744758699
"$100,000 - $149,999",9,0.9896091778999816
"$100,000 - $149,999",10,0.9759929671418512
"$100,000 - $149,999",11,0.9453388377546831
"$100,000 - $149,999",12,0.9786977057318715
"$100,000 - $149,999",18,0.9507458201084443
"$100,000 - $149,999",19,0.9586579442828665
"$100,000 - $149,999",20,0.9718533273646974
"$100,000 - $149,999",21,0.9386787896954255
"$100,000 - $149,999",28,0.9494157453444921
"$100,000 - $149,999",29,0.9591699232790056
"$100,000 - $149,999",30,0.9635063113604488
"$100,000 - $149,999",31,0.9791389990801426
"$100,000 - $149,999",32,0.970181935877006
"$100,000 - $149,999",33,0.9818547549389822
"$150,000 - $199,999",1,0.9977892187035279
"$150,000 - $199,999",2,1
"$150,000 - $199,999",3,0.9925647962086586
"$150,000 - $199,999",4,0.9933703173877955
"$150,000 - $199,999",5,0.9844776000041725
"$150,000 - $199,999",6,0.967722883367429
"$150,000 - $199,999",7,0.9690186626619379
"$150,000 - $199,999",8,0.9857582289824884
"$150,000 - $199,999",9,0.988582532561914
"$150,000 - $199,999",10,0.9944161215936976
"$150,000 - $199,999",11,0.9960896125297656
"$150,000 - $199,999",12,0.9838872290602038
"$150,000 - $199,999",18,0.9718840810879726
"$150,000 - $199,999",19,0.9855638059057158
"$150,000 - $199,999",20,0.9852359998206542
"$150,000 - $199,999",21,0.961511936123108
"$150,000 - $199,999",28,0.9915003200895591
"$150,000 - $199,999",29,0.9975410609972866
"$150,000 - $199,999",30,0.9949755355318325
"$150,000 - $199,999",31,0.987128262010293
"$150,000 - $199,999",32,0.9872719347229029
"$150,000 - $199,999",33,0.9780012820850352
"$200,000 and above",1,0.9861151030741853
"$200,000 and above",2,0.9983122961798276
"$200,000 and above",3,0.9865953590807417
"$200,000 and above",4,0.9998816893276675
"$200,000 and above",5,0.999790737119319
"$200,000 and above",6,0.9972983385977046
"$200,000 and above",7,0.9985620380128496
"$200,000 and above",8,0.9896481190624035
"$200,000 and above",9,0.9874496010857197
"$200,000 and above",10,0.9944961164027268
"$200,000 and above",11,0.9942245377587509
"$200,000 and above",12,0.9881771596045742
"$200,000 and above",18,0.9897078372888751
"$200,000 and above",19,0.9633964178977772
"$200,000 and above",20,0.9947728207736338
"$200,000 and above",21,0.9979240699884975
"$200,000 and above",28,0.9981518084500641
"$200,000 and above",29,0.9994023728848603
"$200,000 and above",30,0.974029273700172
"$200,000 and above",31,0.9990374796667579
"$200,000 and above",32,0.9807105937422788
"$200,000 and above",33,0.9953303127910136
"$25,000 - $34,999",1,0.7707149666093015
"$25,000 - $34,999",2,0.893373370493329
"$25,000 - $34,999",3,0.8122245644890677
"$25,000 - $34,999",4,0.8789568208405899
"$25,000 - $34,999",5,0.7317519507276341
"$25,000 - $34,999",6,0.7823450744807513
"$25,000 - $34,999",7,0.7695480855738125
"$25,000 - $34,999",8,0.7852837657094414
"$25,000 - $34,999",9,0.8107142752045441
"$25,000 - $34,999",10,0.8081025254585217
"$25,000 - $34,999",11,0.8540727114881967
"$25,000 - $34,999",12,0.8331799827089937
"$25,000 - $34,999",18,0.7532388514798638
"$25,000 - $34,999",19,0.9015829569782311
"$25,000 - $34,999",20,0.7265902843233951
"$25,000 - $34,999",21,0.7293295026707818
"$25,000 - $34,999",28,0.811306315123109
"$25,000 - $34,999",29,0.9157026973491691
"$25,000 - $34,999",30,0.8120952364133526
"$25,000 - $34,999",31,0.8034104018025748
"$25,000 - $34,999",32,0.7886882965553079
"$25,000 - $34,999",33,0.8312434544400347
"$35,000 - $49,999",1,0.8951752064974806
"$35,000 - $49,999",2,0.84496426262453
"$35,000 - $49,999",3,0.9260459132104714
"$35,000 - $49,999",4,0.8882636598717508
